neighbourhood,mean,count
Élysée,219.26070663811564,1868
Louvre,218.66813186813187,1365
Luxembourg,212.54970414201185,1690
Palais-Bourbon,211.6219739292365,1611
Hôtel-de-Ville,202.87318645889306,1861
Temple,195.56587966488956,2626
Passy,194.67948380300237,3797
Bourse,194.62780269058297,2230
Opéra,189.28649572649573,2925
Panthéon,188.66773162939296,1878
Vaugirard,171.41413502109705,4740
Batignolles-Monceau,167.43482562453624,4043
Entrepôt,166.0777229009618,3847
Popincourt,158.15777954635894,5026
Observatoire,153.47829977628635,2235
Buttes-Montmartre,147.26014551333873,6185
Reuilly,146.4386909693455,2414
Gobelins,145.32005973120957,2009
Buttes-Chaumont,141.00031847133758,3140
Ménilmontant,136.4808080808081,2970
